,hid,bid,state,uid,pid,text,speaker_position,is_legislator,is_committee_member,relative_position,word_count,mentions_speakers,mentions_bills,has_bill_action,has_presentation_cue,has_vote_cue,has_disposition_cue,has_motion_cue,is_transition,stage_label
19,52054,CA_201720180AB816,CA,1,100942,i would thank you very much madam chair i m here to present ab 816 this is a measure that would increase transparency and accountability and accessibility by closing the distance between californians and their government so under current law there s no requirement for state agencies boards or commissions to allow remote access for public meetings via webcast and this bill would not require all of them to do so but it would make a very important start with every department board or commission of the natural resources agency and every department board and office of cal epa to live stream their public meetings and it ll also require them to enable remote access to viewers so that folks who are watching remotely can add commentary and can interact and participate just as if they were there the bill also requires these agencies to make webcasts available online for no less than three years i think this is a very important measure for allowing folks who cannot necessarily come to sacramento for a meeting but do have an interest in the very important functions that these bodies consider to be able to participate and to be able to be able to see what s going on and i think it could provide a good model for continuing to make government functions more accessible to folks throughout our state so i respectfully ask for an aye vote thank you,LEGISLATOR,1,0,0.03125,1.0,0,1,0,1,1,0,0,0,
20,52054,CA_201720180AB816,CA,2,165448,move the bill second okay bill has been moved and seconded anyone else speaking in support of this bill today,CHAIRMAN,1,1,0.0625,0.0851063829787234,0,0,0,1,0,0,0,0,
21,52054,CA_201720180AB816,CA,3,389,sorry i m late i apologize valerie nera for the california chamber of commerce we are in support of this bill california is such a big state and i have members spread from every border north south east west and they can t always get to these meetings when they need the information they d like to be heard they have some information to offer i think it d be very good for them and very good for the regulators to hear what people in the farther reaches of the states think so we actually ask for your aye vote,NONLEGISLATOR,0,0,0.09375,0.4085106382978723,0,0,0,1,0,0,0,0,
22,52054,CA_201720180AB816,CA,4,165448,thank you anybody speaking in other people speaking in support of this bill today anybody speaking in opposition so mr kiley let me ask you in one of our earlier bills looking at dealing with regulation prompted a discussion that was sort of nested in the context of our national dialog and so i m looking at the organizations that you want to make sure are clear and transparent and that s the cali pa and natural resources both of those dealing with the environment so i m wondering if you could tell us why you chose those agencies and not others,CHAIRMAN,1,1,0.125,0.42127659574468085,0,0,0,1,0,0,0,0,
23,52054,CA_201720180AB816,CA,5,100942,sure i think that ultimately i would like to see others get involved and other agencies have the ability to do so voluntarily and this could provide a good model for them to do so,LEGISLATOR,1,0,0.15625,0.14468085106382977,0,0,0,0,0,0,0,0,
24,52054,CA_201720180AB816,CA,6,165448,as do these as do these correct,CHAIRMAN,1,1,0.1875,0.029787234042553193,0,0,0,0,0,0,0,0,
25,52054,CA_201720180AB816,CA,7,100942,that s right and i think that why is it that these two in particular are chosen i think number one is just the importance of the decisions that they make it provides a good starting place for the sort of agencies where we d want to bring in as broad of an audience as possible and have as much accessibility as possible i think certainly you have citizens all across the state who are interested in the decisions that these bodies make for a broad array of reasons you have a lot of folks who have a strong interest in environmental protection and so would view this as an important access point for government you have folks in the business community who will feel affected by the decisions that they make so for those reasons i think that these are good agencies to start with,LEGISLATOR,1,0,0.21875,0.6127659574468085,0,0,0,0,0,0,0,0,
26,52054,CA_201720180AB816,CA,8,165448,okay i mean but there s also health right there s human services there s a lot of other i mean important business of the state,CHAIRMAN,1,1,0.25,0.09787234042553192,0,0,0,0,0,0,0,0,
27,52054,CA_201720180AB816,CA,9,100942,that s right absolutely and i would love to see this sort of accessibility extended to other agencies as well,LEGISLATOR,1,0,0.28125,0.08085106382978724,0,0,0,0,0,0,0,0,
28,52054,CA_201720180AB816,CA,10,165448,mr frazier,CHAIRMAN,1,1,0.3125,0.00851063829787234,0,0,0,0,0,0,0,0,
